,Year,League,City,Team,Owner,OverlappedOwnership,Wins,Ties,Losses,PlayoffWins,PlayoffLosses,DivisionRank,WonConference,WonLeague,PointsScoredPerGame,PointsScoredRank,PointsConcededPerGame,PointsConcededRank,Points,PlayoffTies,StadiumLatitude,StadiumLongitude,Allstars,OverlapNBA,OverlapNFL,OverlapNHL,OverlapMLB,OverlapMLS
2235,2009,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,11,0.0,5,0,1,2,0,0,26.8,5/1,21.1,19/32,,,39.90083333333330,-75.1675,9.0,0,0,0,0,0
2236,2010,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,10,0.0,6,0,1,1,0,0,27.4,3/1,23.6,21/32,,,39.90083333333330,-75.1675,5.0,0,0,0,0,0
2237,2011,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,8,0.0,8,0,0,2,0,0,24.8,8/1,20.5,10/1,,,39.90083333333330,-75.1675,3.0,0,0,0,0,0
2238,2012,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,4,0.0,12,0,0,4,0,0,17.5,29/32,27.8,29/32,,,39.90083333333330,-75.1675,0.0,0,0,0,0,0
2239,2013,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,10,0.0,6,0,1,1,0,0,27.6,4/1,23.9,17/32,,,39.90083333333330,-75.1675,5.0,0,0,0,0,0
2240,2014,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,10,0.0,6,0,0,2,0,0,29.6,3/1,25.0,22/32,,,39.90083333333330,-75.1675,9.0,0,0,0,0,0
2241,2015,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,7,0.0,9,0,0,2,0,0,23.6,13/32,26.9,28/32,,,39.90083333333330,-75.1675,4.0,0,0,0,0,0
2242,2016,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,7,0.0,9,0,0,4,0,0,22.9,16/32,20.7,12/1,,,39.90083333333330,-75.1675,4.0,0,0,0,0,0
2243,2017,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,13,0.0,3,3,0,1,1,1,28.6,3/1,18.4,4/1,,,39.90083333333330,-75.1675,6.0,0,0,0,0,0
2244,2018,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,9,0.0,7,1,1,2,0,0,22.9,18/32,21.8,12/1,,,39.90083333333330,-75.1675,5.0,0,0,0,0,0
2245,2019,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,9,0.0,7,0,1,1,0,0,24.1,12/1,22.1,15/32,,,39.90083333333330,-75.1675,6.0,0,0,0,0,0
2246,2020,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,4,1.0,11,0,0,4,0,0,20.9,26/32,26.1,20/32,,,39.90083333333330,-75.1675,3.0,0,0,0,0,0
2247,2021,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,9,0.0,8,0,1,2,0,0,26.1,12/1,22.6,18/32,,,39.90083333333330,-75.1675,5.0,0,0,0,0,0
2248,2022,NFL,Philadelphia,Eagles,Jeffrey Lurie,0,14,0.0,3,2,1,1,1,0,28.1,3/1,20.2,8/1,,,39.90083333333330,-75.1675,8.0,0,0,0,0,0
2249,1980,NFL,Pittsburgh,Steelers,Art Rooney,0,9,0.0,7,0,0,3,0,0,22.0,10/28,19.6,15/28,,,40.446666666666700,-80.01277777777780,5.0,0,0,0,0,0
2250,1981,NFL,Pittsburgh,Steelers,Art Rooney,0,8,0.0,8,0,0,2,0,0,22.3,8/28,18.6,11/28,,,40.446666666666700,-80.01277777777780,4.0,0,0,0,0,0
2251,1982,NFL,Pittsburgh,Steelers,Art Rooney,0,6,0.0,3,0,1,2,0,0,22.7,8/28,16.2,4/28,,,40.446666666666700,-80.01277777777780,5.0,0,0,0,0,0
2252,1983,NFL,Pittsburgh,Steelers,Art Rooney,0,10,0.0,6,0,1,1,0,0,22.2,14/28,18.9,7/28,,,40.446666666666700,-80.01277777777780,3.0,0,0,0,0,0
2253,1984,NFL,Pittsburgh,Steelers,Art Rooney,0,9,0.0,7,1,1,1,0,0,24.2,8/28,19.4,11/28,,,40.446666666666700,-80.01277777777780,5.0,0,0,0,0,0
2254,1985,NFL,Pittsburgh,Steelers,Art Rooney,0,7,0.0,9,0,0,3,0,0,23.7,9/28,22.2,15/28,,,40.446666666666700,-80.01277777777780,4.0,0,0,0,0,0
2255,1986,NFL,Pittsburgh,Steelers,Art Rooney,0,6,0.0,10,0,0,3,0,0,19.2,18/28,21.0,17/28,,,40.446666666666700,-80.01277777777780,2.0,0,0,0,0,0
2256,1987,NFL,Pittsburgh,Steelers,Art Rooney,0,8,0.0,7,0,0,3,0,0,19.0,20/28,19.9,10/28,,,40.446666666666700,-80.01277777777780,1.0,0,0,0,0,0
2257,1988,NFL,Pittsburgh,Steelers,Dan Rooney,0,5,0.0,11,0,0,4,0,0,21.0,13/28,26.3,28/28,,,40.446666666666700,-80.01277777777780,1.0,0,0,0,0,0
2258,1989,NFL,Pittsburgh,Steelers,Dan Rooney,0,9,0.0,7,1,1,3,0,0,16.6,24/28,20.4,15/28,,,40.446666666666700,-80.01277777777780,2.0,0,0,0,0,0
2259,1990,NFL,Pittsburgh,Steelers,Dan Rooney,0,9,0.0,7,0,0,3,0,0,18.3,20/28,15.0,3/28,,,40.446666666666700,-80.01277777777780,2.0,0,0,0,0,0
2260,1991,NFL,Pittsburgh,Steelers,Dan Rooney,0,7,0.0,9,0,0,2,0,0,18.3,17/28,21.5,22/28,,,40.446666666666700,-80.01277777777780,2.0,0,0,0,0,0
2261,1992,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,0,1,1,0,0,18.7,15/28,14.1,2/28,,,40.446666666666700,-80.01277777777780,6.0,0,0,0,0,0
2262,1993,NFL,Pittsburgh,Steelers,Dan Rooney,0,9,0.0,7,0,1,2,0,0,19.3,13/28,17.6,8/28,,,40.446666666666700,-80.01277777777780,6.0,0,0,0,0,0
2263,1994,NFL,Pittsburgh,Steelers,Dan Rooney,0,12,0.0,4,1,1,1,0,0,19.8,16/28,14.6,2/28,,,40.446666666666700,-80.01277777777780,6.0,0,0,0,0,0
2264,1995,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,2,1,1,1,0,25.4,5/30,20.4,9/30,,,40.446666666666700,-80.01277777777780,5.0,0,0,0,0,0
2265,1996,NFL,Pittsburgh,Steelers,Dan Rooney,0,10,0.0,6,1,1,1,0,0,21.5,11/30,16.1,4/30,,,40.446666666666700,-80.01277777777780,6.0,0,0,0,0,0
2266,1997,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,1,1,1,0,0,23.3,7/30,19.2,11/30,,,40.446666666666700,-80.01277777777780,6.0,0,0,0,0,0
2267,1998,NFL,Pittsburgh,Steelers,Dan Rooney,0,7,0.0,9,0,0,3,0,0,16.4,28/30,18.9,7/30,,,40.446666666666700,-80.01277777777780,1.0,0,0,0,0,0
2268,1999,NFL,Pittsburgh,Steelers,Dan Rooney,0,6,0.0,10,0,0,4,0,0,19.8,17/31,20.0,12/31,,,40.446666666666700,-80.01277777777780,0.0,0,0,0,0,0
2269,2000,NFL,Pittsburgh,Steelers,Dan Rooney,0,9,0.0,7,0,0,3,0,0,20.1,17/31,15.9,6/1,,,40.446666666666700,-80.01277777777780,1.0,0,0,0,0,0
2270,2001,NFL,Pittsburgh,Steelers,Dan Rooney,0,13,0.0,3,1,1,1,0,0,22.0,7/31,13.3,3/31,,,40.446666666666700,-80.01583333333330,6.0,0,0,0,0,0
2271,2002,NFL,Pittsburgh,Steelers,Dan Rooney,0,10,1.0,5,1,1,1,0,0,24.4,8/1,21.6,16/32,,,40.446666666666700,-80.01583333333330,4.0,0,0,0,0,0
2272,2003,NFL,Pittsburgh,Steelers,Dan Rooney,0,6,0.0,10,0,0,3,0,0,18.8,19/32,20.4,15/32,,,40.446666666666700,-80.01583333333330,3.0,0,0,0,0,0
2273,2004,NFL,Pittsburgh,Steelers,Dan Rooney,0,15,0.0,1,1,1,1,0,0,23.3,11/1,15.7,1/1,,,40.446666666666700,-80.01583333333330,9.0,0,0,0,0,0
2274,2005,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,4,0,2,1,1,24.3,9/1,16.1,3/1,,,40.446666666666700,-80.01583333333330,5.0,0,0,0,0,0
2275,2006,NFL,Pittsburgh,Steelers,Dan Rooney,0,8,0.0,8,0,0,3,0,0,22.1,12/1,19.7,11/1,,,40.446666666666700,-80.01583333333330,4.0,0,0,0,0,0
2276,2007,NFL,Pittsburgh,Steelers,Dan Rooney,0,10,0.0,6,0,1,1,0,0,24.6,9/1,16.8,2/1,,,40.446666666666700,-80.01583333333330,6.0,0,0,0,0,0
2277,2008,NFL,Pittsburgh,Steelers,Dan Rooney,0,12,0.0,4,3,0,1,1,1,21.7,20/32,13.9,1/1,,,40.446666666666700,-80.01583333333330,3.0,0,0,0,0,0
2278,2009,NFL,Pittsburgh,Steelers,Dan Rooney,0,9,0.0,7,0,0,3,0,0,23.0,12/1,20.3,12/1,,,40.446666666666700,-80.01583333333330,4.0,0,0,0,0,0
2279,2010,NFL,Pittsburgh,Steelers,Dan Rooney,0,12,0.0,4,2,1,1,1,0,23.4,12/1,14.5,1/1,,,40.446666666666700,-80.01583333333330,4.0,0,0,0,0,0
2280,2011,NFL,Pittsburgh,Steelers,Dan Rooney,0,12,0.0,4,0,1,2,0,0,20.3,21/32,14.2,1/1,,,40.446666666666700,-80.01583333333330,7.0,0,0,0,0,0
2281,2012,NFL,Pittsburgh,Steelers,Dan Rooney,0,8,0.0,8,0,0,3,0,0,21.0,22/32,19.6,6/1,,,40.446666666666700,-80.01583333333330,2.0,0,0,0,0,0
2282,2013,NFL,Pittsburgh,Steelers,Dan Rooney,0,8,0.0,8,0,0,2,0,0,23.7,16/32,23.1,14/32,,,40.446666666666700,-80.01583333333330,2.0,0,0,0,0,0
2283,2014,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,0,1,1,0,0,27.3,7/1,23.0,18/32,,,40.446666666666700,-80.01583333333330,5.0,0,0,0,0,0
2284,2015,NFL,Pittsburgh,Steelers,Dan Rooney,0,10,0.0,6,1,1,2,0,0,26.4,4/1,19.9,11/1,,,40.446666666666700,-80.01583333333330,3.0,0,0,0,0,0
2285,2016,NFL,Pittsburgh,Steelers,Dan Rooney,0,11,0.0,5,2,1,1,0,0,24.9,10/1,20.4,10/1,,,40.446666666666700,-80.01583333333330,6.0,0,0,0,0,0
2286,2017,NFL,Pittsburgh,Steelers,Art Rooney II,0,13,0.0,3,0,1,1,0,0,25.4,8/1,19.3,7/1,,,40.446666666666700,-80.01583333333330,10.0,0,0,0,0,0
2287,2018,NFL,Pittsburgh,Steelers,Art Rooney II,0,9,1.0,6,0,0,2,0,0,26.8,6/1,22.5,16/32,,,40.446666666666700,-80.01583333333330,8.0,0,0,0,0,0
2288,2019,NFL,Pittsburgh,Steelers,Art Rooney II,0,8,0.0,8,0,0,2,0,0,18.1,27/32,18.9,5/1,,,40.446666666666700,-80.01583333333330,6.0,0,0,0,0,0
2289,2020,NFL,Pittsburgh,Steelers,Art Rooney II,0,12,0.0,4,0,1,1,0,0,26.0,12/1,19.5,3/1,,,40.446666666666700,-80.01583333333330,5.0,0,0,0,0,0
2290,2021,NFL,Pittsburgh,Steelers,Art Rooney II,0,9,1.0,7,0,1,2,0,0,20.2,21/32,23.4,20/32,,,40.446666666666700,-80.01583333333330,4.0,0,0,0,0,0
2291,2022,NFL,Pittsburgh,Steelers,Art Rooney II,0,9,0.0,8,0,0,3,0,0,18.1,26/32,20.4,10/1,,,40.446666666666700,-80.01583333333330,3.0,0,0,0,0,0
2292,1980,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,6,0.0,10,0,0,3,0,0,20.0,12/28,25.9,26/28,,,37.71361111111110,-122.38611111111100,0.0,0,0,0,0,0
2293,1981,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,13,0.0,3,3,0,1,1,1,22.3,7/28,15.6,2/28,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2294,1982,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,3,0.0,6,0,0,3,0,0,23.2,7/28,22.9,23/28,,,37.71361111111110,-122.38611111111100,4.0,0,0,0,0,0
2295,1983,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,0.0,6,1,1,1,0,0,27.0,4/28,18.3,4/28,,,37.71361111111110,-122.38611111111100,4.0,0,0,0,0,0
2296,1984,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,15,0.0,1,3,0,1,1,1,29.7,2/28,14.2,1/28,,,37.71361111111110,-122.38611111111100,10.0,0,0,0,0,0
2297,1985,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,0.0,6,0,1,2,0,0,25.7,5/28,16.4,2/28,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2298,1986,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,1.0,5,0,1,1,0,0,23.4,7/28,15.4,3/28,,,37.71361111111110,-122.38611111111100,2.0,0,0,0,0,0
2299,1987,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,13,0.0,2,0,1,1,0,0,30.6,1/28,16.9,3/28,,,37.71361111111110,-122.38611111111100,5.0,0,0,0,0,0
2300,1988,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,0.0,6,3,0,1,1,1,23.1,7/28,18.4,8/28,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2301,1989,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,14,0.0,2,3,0,1,1,1,27.6,1/28,15.8,3/28,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2302,1990,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,14,0.0,2,1,1,1,0,0,22.1,8/28,14.9,2/28,,,37.71361111111110,-122.38611111111100,5.0,0,0,0,0,0
2303,1991,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,0.0,6,0,0,3,0,0,24.6,3/28,14.9,4/28,,,37.71361111111110,-122.38611111111100,3.0,0,0,0,0,0
2304,1992,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,14,0.0,2,1,1,1,0,0,26.9,1/28,14.8,3/28,,,37.71361111111110,-122.38611111111100,7.0,0,0,0,0,0
2305,1993,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,10,0.0,6,1,1,1,0,0,29.6,1/28,18.4,16/28,,,37.71361111111110,-122.38611111111100,8.0,0,0,0,0,0
2306,1994,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,13,0.0,3,3,0,1,1,1,31.6,1/28,18.5,6/28,,,37.71361111111110,-122.38611111111100,10.0,0,0,0,0,0
2307,1995,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,11,0.0,5,0,1,1,0,0,28.6,1/30,16.1,2/1,,,37.71361111111110,-122.38611111111100,10.0,0,0,0,0,0
2308,1996,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,12,0.0,4,1,1,2,0,0,24.9,3/30,16.1,4/30,,,37.71361111111110,-122.38611111111100,4.0,0,0,0,0,0
2309,1997,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,13,0.0,3,1,1,1,0,0,23.4,5/30,16.6,3/30,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2310,1998,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,12,0.0,4,1,1,2,0,0,29.9,3/30,20.5,13/30,,,37.71361111111110,-122.38611111111100,5.0,0,0,0,0,0
2311,1999,NFL,San Francisco,49ers,"Eddie DeBartolo, Denise DeBartolo York",0,4,0.0,12,0,0,4,0,0,18.4,22/31,28.3,30/31,,,37.71361111111110,-122.38611111111100,1.0,0,0,0,0,0
2312,2000,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,6,0.0,10,0,0,4,0,0,24.3,6/1,26.4,28/31,,,37.71361111111110,-122.38611111111100,3.0,0,0,0,0,0
2313,2001,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,12,0.0,4,0,1,2,0,0,25.6,3/31,17.6,9/1,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2314,2002,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,10,0.0,6,1,1,1,0,0,22.9,13/32,21.9,18/32,,,37.71361111111110,-122.38611111111100,6.0,0,0,0,0,0
2315,2003,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,7,0.0,9,0,0,3,0,0,24.0,9/1,21.1,21/32,,,37.71361111111110,-122.38611111111100,3.0,0,0,0,0,0
2316,2004,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,2,0.0,14,0,0,4,0,0,16.2,30/32,28.3,32/32,,,37.71361111111110,-122.38611111111100,1.0,0,0,0,0,0
2317,2005,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,4,0.0,12,0,0,4,0,0,14.9,30/32,26.8,30/32,,,37.71361111111110,-122.38611111111100,0.0,0,0,0,0,0
2318,2006,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,7,0.0,9,0,0,3,0,0,18.6,24/32,25.8,32/32,,,37.71361111111110,-122.38611111111100,3.0,0,0,0,0,0
2319,2007,NFL,San Francisco,49ers,"Denise Bartolo York, John York",0,5,0.0,11,0,0,3,0,0,13.7,32/32,22.8,20/32,,,37.71361111111110,-122.38611111111100,2.0,0,0,0,0,0
2320,2008,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,7,0.0,9,0,0,2,0,0,21.2,22/32,23.8,23/32,,,37.71361111111110,-122.38611111111100,1.0,0,0,0,0,0
2321,2009,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,8,0.0,8,0,0,2,0,0,20.6,18/32,17.6,4/1,,,37.71361111111110,-122.38611111111100,5.0,0,0,0,0,0
2322,2010,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,6,0.0,10,0,0,3,0,0,19.1,24/32,21.6,16/32,,,37.71361111111110,-122.38611111111100,2.0,0,0,0,0,0
2323,2011,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,13,0.0,3,1,1,1,0,0,23.8,11/1,14.3,2/1,,,37.71361111111110,-122.38611111111100,9.0,0,0,0,0,0
2324,2012,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,11,1.0,4,2,1,1,1,0,24.8,11/1,17.1,2/1,,,37.71361111111110,-122.38611111111100,9.0,0,0,0,0,0
2325,2013,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,12,0.0,4,2,1,2,0,0,25.4,11/1,17.0,3/1,,,37.71361111111110,-122.38611111111100,10.0,0,0,0,0,0
2326,2014,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,8,0.0,8,0,0,3,0,0,19.1,25/32,21.3,10/1,,,37.403055555555600,-121.97,3.0,0,0,0,0,0
2327,2015,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,5,0.0,11,0,0,4,0,0,14.9,32/32,24.2,18/32,,,37.403055555555600,-121.97,2.0,0,0,0,0,0
2328,2016,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,2,0.0,14,0,0,4,0,0,19.3,27/32,30.0,32/32,,,37.403055555555600,-121.97,0.0,0,0,0,0,0
2329,2017,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,6,0.0,10,0,0,4,0,0,20.7,20/32,23.9,25/32,,,37.403055555555600,-121.97,2.0,0,0,0,0,0
2330,2018,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,4,0.0,12,0,0,3,0,0,21.4,21/32,27.2,28/32,,,37.403055555555600,-121.97,3.0,0,0,0,0,0
2331,2019,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,13,0.0,3,2,1,1,1,0,29.9,2/1,19.4,8/1,,,37.403055555555600,-121.97,4.0,0,0,0,0,0
2332,2020,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,6,0.0,10,0,0,4,0,0,23.5,21/32,24.4,17/32,,,37.403055555555600,-121.97,3.0,0,0,0,0,0
2333,2021,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,10,0.0,7,2,1,3,0,0,25.1,13/32,21.5,9/1,,,37.403055555555600,-121.97,7.0,0,0,0,0,0
2334,2022,NFL,San Francisco,49ers,"Denise Bartolo York, John York, Jed York",0,13,0.0,4,2,1,1,0,0,26.5,6/1,16.3,1/1,,,37.403055555555600,-121.97,7.0,0,0,0,0,0
2335,1980,NFL,Seattle,Seahawks,Nordstrom family,0,4,0.0,12,0,0,5,0,0,18.2,21/28,25.5,25/28,,,47.59527777777780,-122.33138888888900,0.0,0,0,0,0,0
2336,1981,NFL,Seattle,Seahawks,Nordstrom family,0,6,0.0,10,0,0,5,0,0,20.1,15/28,24.3,25/28,,,47.59527777777780,-122.33138888888900,1.0,0,0,0,0,0
2337,1982,NFL,Seattle,Seahawks,Nordstrom family,0,4,0.0,5,0,0,3,0,0,14.1,27/28,16.3,5/28,,,47.59527777777780,-122.33138888888900,1.0,0,0,0,0,0
2338,1983,NFL,Seattle,Seahawks,Nordstrom family,0,9,0.0,7,2,1,2,0,0,25.2,6/28,24.8,24/28,,,47.59527777777780,-122.33138888888900,2.0,0,0,0,0,0
2339,1984,NFL,Seattle,Seahawks,Nordstrom family,0,12,0.0,4,1,1,2,0,0,26.1,5/28,17.6,5/28,,,47.59527777777780,-122.33138888888900,7.0,0,0,0,0,0
2340,1985,NFL,Seattle,Seahawks,Nordstrom family,0,8,0.0,8,0,0,3,0,0,21.8,13/28,18.9,8/28,,,47.59527777777780,-122.33138888888900,3.0,0,0,0,0,0
2341,1986,NFL,Seattle,Seahawks,Nordstrom family,0,10,0.0,6,0,0,3,0,0,22.9,10/28,18.3,8/28,,,47.59527777777780,-122.33138888888900,5.0,0,0,0,0,0
2342,1987,NFL,Seattle,Seahawks,Nordstrom family,0,9,0.0,6,0,1,2,0,0,24.7,6/28,20.9,14/28,,,47.59527777777780,-122.33138888888900,5.0,0,0,0,0,0
2343,1988,NFL,Seattle,Seahawks,Ken Behring,0,9,0.0,7,0,1,1,0,0,21.2,12/28,20.6,16/28,,,47.59527777777780,-122.33138888888900,2.0,0,0,0,0,0
2344,1989,NFL,Seattle,Seahawks,Ken Behring,0,7,0.0,9,0,0,4,0,0,15.1,27/28,20.4,16/28,,,47.59527777777780,-122.33138888888900,3.0,0,0,0,0,0
2345,1990,NFL,Seattle,Seahawks,Ken Behring,0,9,0.0,7,0,0,3,0,0,19.1,18/28,17.9,11/28,,,47.59527777777780,-122.33138888888900,1.0,0,0,0,0,0
2346,1991,NFL,Seattle,Seahawks,Ken Behring,0,7,0.0,9,0,0,4,0,0,17.3,20/28,16.3,8/28,,,47.59527777777780,-122.33138888888900,2.0,0,0,0,0,0
2347,1992,NFL,Seattle,Seahawks,Ken Behring,0,2,0.0,14,0,0,5,0,0,8.8,28/28,19.5,17/28,,,47.59527777777780,-122.33138888888900,2.0,0,0,0,0,0
2348,1993,NFL,Seattle,Seahawks,Ken Behring,0,6,0.0,10,0,0,5,0,0,17.5,19/28,19.6,18/28,,,47.59527777777780,-122.33138888888900,3.0,0,0,0,0,0
2349,1994,NFL,Seattle,Seahawks,Ken Behring,0,6,0.0,10,0,0,5,0,0,17.9,20/28,20.2,16/28,,,47.650277777777800,-122.30166666666700,3.0,0,0,0,0,0
2350,1995,NFL,Seattle,Seahawks,Ken Behring,0,8,0.0,8,0,0,3,0,0,22.7,10/30,22.9,23/30,,,47.59527777777780,-122.33138888888900,2.0,0,0,0,0,0
2351,1996,NFL,Seattle,Seahawks,Ken Behring,0,7,0.0,9,0,0,5,0,0,19.8,16/30,23.5,24/30,,,47.59527777777780,-122.33138888888900,1.0,0,0,0,0,0
2352,1997,NFL,Seattle,Seahawks,Paul Allen,1,8,0.0,8,0,0,3,0,0,22.8,9/30,22.6,22/30,,,47.59527777777780,-122.33138888888900,4.0,1,0,0,0,0
2353,1998,NFL,Seattle,Seahawks,Paul Allen,1,8,0.0,8,0,0,3,0,0,23.3,10/30,19.4,10/30,,,47.59527777777780,-122.33138888888900,4.0,1,0,0,0,0
2354,1999,NFL,Seattle,Seahawks,Paul Allen,1,9,0.0,7,0,1,1,0,0,21.1,12/31,18.6,8/31,,,47.59527777777780,-122.33138888888900,3.0,1,0,0,0,0
2355,2000,NFL,Seattle,Seahawks,Paul Allen,1,6,0.0,10,0,0,4,0,0,20.0,19/31,25.3,25/31,,,47.650277777777800,-122.30166666666700,0.0,1,0,0,0,0
2356,2001,NFL,Seattle,Seahawks,Paul Allen,1,9,0.0,7,0,0,2,0,0,18.8,19/31,20.3,18/31,,,47.650277777777800,-122.30166666666700,2.0,1,0,0,0,0
2357,2002,NFL,Seattle,Seahawks,Paul Allen,1,7,0.0,9,0,0,3,0,0,22.2,16/32,23.1,23/32,,,47.59527777777780,-122.33166666666700,1.0,1,0,0,0,0
2358,2003,NFL,Seattle,Seahawks,Paul Allen,1,10,0.0,6,0,1,2,0,0,25.3,7/1,20.4,15/32,,,47.59527777777780,-122.33166666666700,5.0,1,0,0,0,0
2359,2004,NFL,Seattle,Seahawks,Paul Allen,1,9,0.0,7,0,1,1,0,0,23.2,12/1,23.3,22/32,,,47.59527777777780,-122.33166666666700,3.0,1,0,0,0,0
2360,2005,NFL,Seattle,Seahawks,Paul Allen,1,13,0.0,3,2,1,1,1,0,28.3,1/1,16.9,7/1,,,47.59527777777780,-122.33166666666700,7.0,1,0,0,0,0
2361,2006,NFL,Seattle,Seahawks,Paul Allen,1,9,0.0,7,1,1,1,0,0,20.9,14/32,21.3,19/32,,,47.59527777777780,-122.33166666666700,4.0,1,0,0,0,0
2362,2007,NFL,Seattle,Seahawks,Paul Allen,1,10,0.0,6,1,1,1,0,0,24.6,9/1,18.2,6/1,,,47.59527777777780,-122.33166666666700,6.0,1,0,0,0,0
2363,2008,NFL,Seattle,Seahawks,Paul Allen,1,4,0.0,12,0,0,3,0,0,18.4,25/32,24.5,25/32,,,47.59527777777780,-122.33166666666700,2.0,1,0,0,0,0
2364,2009,NFL,Seattle,Seahawks,Paul Allen,1,5,0.0,11,0,0,3,0,0,17.5,25/32,24.4,25/32,,,47.59527777777780,-122.33166666666700,0.0,1,0,0,0,0
2365,2010,NFL,Seattle,Seahawks,Paul Allen,1,7,0.0,9,1,1,1,0,0,19.4,23/32,25.4,25/32,,,47.59527777777780,-122.33166666666700,0.0,1,0,0,0,0
2366,2011,NFL,Seattle,Seahawks,Paul Allen,1,7,0.0,9,0,0,3,0,0,20.1,23/32,19.7,7/1,,,47.59527777777780,-122.33166666666700,5.0,1,0,0,0,0
2367,2012,NFL,Seattle,Seahawks,Paul Allen,1,11,0.0,5,1,1,2,0,0,25.8,9/1,15.3,1/1,,,47.59527777777780,-122.33166666666700,6.0,1,0,0,0,0
2368,2013,NFL,Seattle,Seahawks,Paul Allen,1,13,0.0,3,3,0,1,1,1,26.1,8/1,14.4,1/1,,,47.59527777777780,-122.33166666666700,6.0,1,0,0,0,0
2369,2014,NFL,Seattle,Seahawks,Paul Allen,1,12,0.0,4,2,1,1,1,0,24.6,10/1,15.9,1/1,,,47.59527777777780,-122.33166666666700,6.0,1,0,0,0,0
